 Projeção da População do Brasil por sexo e idade simples: 2000-2060
População residente por Idade simples e Ano
Sexo: Feminino
Período:2000-2025
"Idade simples";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2021";"2022";"2023";"2024";"2025"
"27 anos";1432896;1464141;1501982;1538093;1572131;1609216;1650460;1692270;1732202;1773307;1795770;1790419;1766921;1744232;1718505;1698577;1690855;1690969;1688074;1684229;1681517;1679872;1679188;1678980;1679028;1679475
"28 anos";1410285;1431475;1462728;1500568;1536684;1570730;1607808;1649048;1690847;1730781;1771879;1794392;1789117;1765677;1743036;1717361;1697509;1689861;1690007;1687143;1683326;1680630;1678993;1678332;1678146;1678214
"29 anos";1394475;1408889;1430096;1461356;1499195;1535315;1569362;1606439;1647670;1689463;1729392;1770525;1793089;1787855;1764469;1741877;1716286;1696511;1688898;1689075;1686239;1682436;1679753;1678137;1677501;1677334
"30 anos";1377955;1392858;1407295;1428518;1459785;1497623;1533743;1567788;1604861;1646085;1687868;1727820;1768995;1791577;1786390;1763067;1740552;1715053;1695328;1687753;1687959;1685151;1681364;1678711;1677122;1676509
"31 anos";1361377;1376117;1391046;1405511;1426750;1458021;1495854;1531969;1566013;1603083;1644295;1686094;1726078;1767256;1789862;1784724;1761499;1739070;1713634;1693960;1686429;1686660;1683880;1680126;1677505;1675945
"32 anos";1346064;1359561;1374331;1389283;1403775;1425030;1456303;1494131;1530237;1564282;1601343;1642577;1684397;1724388;1765570;1788196;1783136;1760000;1737630;1712251;1692630;1685128;1685384;1682642;1678919;1676327
"33 anos";1331646;1344272;1357797;1372594;1387569;1402087;1423356;1454631;1492448;1528548;1562592;1599675;1640932;1682751;1722747;1763934;1786607;1781617;1758544;1736230;1710905;1691330;1683854;1684144;1681433;1677741
"34 anos";1317192;1329876;1342531;1356079;1370901;1385902;1400443;1421724;1452995;1490804;1526898;1560966;1598079;1639338;1681157;1721155;1762369;1785086;1780144;1757128;1734869;1709590;1690053;1682615;1682934;1680254
"35 anos";1302666;1315096;1327816;1340506;1354088;1368940;1383971;1398536;1419833;1451103;1488904;1525014;1559113;1596226;1637484;1679299;1719314;1760552;1783287;1778395;1755445;1733244;1708019;1688532;1681136;1681488
"36 anos";1288698;1300238;1312717;1325477;1338208;1351827;1366718;1381782;1396377;1417691;1448965;1486774;1522902;1557008;1594121;1635372;1677198;1717228;1758460;1781216;1776378;1753499;1731362;1706202;1686773;1679423
"37 anos";1268557;1286301;1297887;1310408;1323209;1335981;1349633;1364560;1379649;1394276;1415610;1446901;1484723;1520849;1554962;1592073;1633333;1675171;1715194;1756425;1779196;1774407;1751597;1729521;1704426;1685051
"38 anos";1239063;1266199;1283978;1295607;1308175;1321011;1333821;1347505;1362461;1377577;1392231;1413597;1444910;1482726;1518855;1552967;1590095;1631365;1673196;1713215;1754441;1777224;1772479;1749736;1727720;1702688
"39 anos";1203203;1236764;1263919;1281726;1293397;1306003;1318878;1331721;1345435;1360417;1375559;1390254;1411657;1442972;1480784;1516915;1551042;1588185;1629450;1671270;1711282;1752498;1775295;1770599;1747915;1725958
"40 anos";1167266;1200407;1233978;1261152;1278999;1290720;1303373;1316294;1329177;1342929;1357946;1373129;1387871;1409295;1440612;1478418;1514552;1548698;1585831;1627081;1668885;1708889;1750087;1772896;1768257;1745642
"41 anos";1130142;1163985;1197137;1230719;1257916;1275813;1287593;1300302;1313271;1326200;1340001;1355069;1370297;1385077;1406523;1437840;1475641;1511776;1545918;1583038;1624265;1666051;1706036;1747212;1770034;1765454
"42 anos";1093080;1126966;1160821;1193973;1227567;1254785;1272727;1284562;1297320;1310338;1323313;1337164;1352277;1367540;1382354;1403820;1435146;1472945;1509066;1543204;1580310;1621515;1663276;1703238;1744398;1767226
"43 anos";1057387;1090012;1123897;1157755;1190913;1224513;1251750;1269735;1281622;1294425;1307491;1320516;1334414;1349560;1364857;1379704;1401196;1432529;1470310;1506420;1540549;1577641;1618821;1660556;1700499;1741640
"44 anos";1022406;1054414;1087047;1120932;1154791;1187953;1221555;1248810;1266832;1278765;1291616;1304732;1317804;1331736;1346914;1362239;1377128;1398648;1429976;1467740;1503834;1537954;1575029;1616186;1657892;1697816
"45 anos";986316;1018841;1050843;1083468;1117340;1151189;1184343;1217938;1245203;1263257;1275239;1288151;1301320;1314431;1328402;1343616;1358985;1373915;1395445;1426764;1464502;1500570;1534673;1571724;1612842;1654513
"46 anos";949616;982193;1014695;1046682;1079288;1113135;1146961;1180098;1213671;1240935;1259017;1271065;1284043;1297258;1310413;1324427;1339686;1355101;1370062;1391605;1422909;1460606;1496640;1530717;1567737;1608807
"47 anos";912906;945643;978194;1010675;1042641;1075225;1109048;1142849;1175966;1209516;1236781;1254903;1267014;1280040;1293298;1306496;1320560;1335865;1351310;1366298;1387851;1419129;1456787;1492792;1526839;1563825
"48 anos";876353;909089;941796;974320;1006777;1038722;1071282;1105076;1138851;1171940;1205464;1232745;1250911;1263072;1276141;1289440;1302688;1316799;1332134;1347604;1362619;1384173;1415425;1453048;1489019;1523035
"49 anos";840047;872688;905387;938065;970560;1002993;1034915;1067448;1101212;1134958;1168016;1201534;1228829;1247023;1259232;1272338;1285690;1298985;1313125;1328487;1343984;1359015;1380568;1411798;1449381;1485316
"50 anos";804340;835730;868324;900979;933613;966071;998465;1030354;1062848;1096571;1130277;1163314;1196814;1224106;1242330;1254590;1267744;1281148;1294477;1308653;1324041;1339558;1354610;1376164;1407359;1444888
"51 anos";769692;799416;830747;863285;895882;928460;960869;993212;1025058;1057506;1091177;1124845;1157851;1191314;1218600;1236852;1249170;1262376;1275821;1289189;1303399;1318809;1334349;1349420;1370971;1402122
"52 anos";734630;764977;794651;825925;858401;890939;923461;955818;988108;1019904;1052306;1085937;1119566;1152535;1185958;1213231;1231515;1243891;1257136;1270616;1284019;1298253;1313686;1329246;1344333;1365880
"53 anos";698646;730128;760416;790036;821253;853662;886139;918604;950908;983145;1014891;1047253;1080844;1114429;1147357;1180739;1208006;1226316;1238734;1252017;1265529;1278957;1293218;1308670;1324245;1339346
"54 anos";662798;694362;725775;756003;785566;816720;849065;881478;913884;946131;978314;1010021;1042344;1075886;1109426;1142312;1175656;1202915;1221239;1233700;1247013;1260551;1274003;1288285;1303752;1319343
"55 anos";628036;657771;689243;720571;750722;780223;811302;843570;875909;908240;940419;972542;1004199;1036467;1069944;1103419;1136255;1169543;1196777;1215110;1227616;1240958;1254522;1268000;1282302;1297783
"56 anos";593377;622323;651960;683325;714552;744613;774039;805031;837209;869460;901707;933814;965861;997451;1029643;1063040;1096441;1129208;1162419;1189616;1207963;1220503;1233878;1247468;1260969;1275290
"57 anos";564425;587972;616816;646356;677614;708741;738712;768059;798960;831046;863208;895372;927402;959373;990884;1023003;1056321;1089646;1122335;1155470;1182625;1200976;1213547;1226951;1240563;1254083
"58 anos";543813;559281;582764;611512;640948;672097;703122;733005;762267;793079;825071;857144;889230;921173;953061;984499;1016541;1049779;1083021;1115634;1148686;1175794;1194141;1206744;1220170;1233798
"59 anos";528683;538856;554325;577744;606390;635727;666767;697687;727480;756658;787373;819281;851261;883258;915115;946918;978283;1010250;1043403;1076560;1109089;1142059;1169115;1187458;1200082;1213529
"60 anos";513814;522677;532910;548378;571720;600243;629459;660368;691165;720846;749921;780521;812307;844165;876045;907787;939488;970752;1002611;1035646;1068688;1101103;1133962;1160951;1179278;1191925
"61 anos";500581;506776;515726;526022;541493;564742;593120;622192;652949;683598;713148;742104;772561;804191;835894;867629;899236;930803;961936;993657;1026547;1059440;1091719;1124438;1151337;1169637
"62 anos";484769;493727;500037;509063;519414;534876;558032;586267;615193;645797;676295;705716;734537;764843;796316;827866;859459;890928;922350;953353;984934;1017676;1050419;1082557;1115132;1141936
"63 anos";463865;478135;487162;493578;502670;513067;528517;551577;579669;608446;638899;669248;698522;727201;757356;788668;820070;851520;882845;914124;944988;976426;1009015;1041613;1073606;1106038
"64 anos";439990;457519;471780;480870;487378;496529;506965;522399;545361;573307;601939;632236;662426;691548;720085;750088;781245;812497;843799;874976;906111;936831;968126;1000561;1033008;1064860
"65 anos";417464;432504;449943;464169;473309;479907;489103;499566;514957;537774;565519;593952;624036;654003;682932;711281;741090;772043;803094;834196;865178;896121;926652;957758;989995;1022243
"66 anos";395034;408931;423880;441192;455360;464537;471217;480449;490921;506242;528871;556362;584541;614350;644053;672737;700860;730429;761124;791925;822779;853519;884224;914525;945395;977385
